business_partner_id,company_name,contact_person,email,phone_number,partnership_type
BP00001,Castillo-Miller,Darryl Perez,michaelhogan@tran-shaffer.info,0533825172,Hotel Chain
BP00002,"Hodges, Lambert and Miller",Jennifer Lam,vargasbrenda@gmail.com,297.520.2603x22426,Airline
BP00003,Holder and Sons,Jake Bates,pattonbrianna@yahoo.com,(243)719-6033x48686,Car Rental
BP00004,Zimmerman and Sons,Michael Parrish,eric28@davis.com,011.378.6071,Hotel Chain
BP00005,"Hall, Rogers and Mccoy",Benjamin Perry,pateljeffery@hotmail.com,(083)166-6714x9554,Hotel Chain
BP00006,Hawkins Group,Samantha Hernandez,jacob47@boyd-bentley.com,(276)991-8691,Airline
BP00007,Weaver Ltd,Jesus Bell,thomaspalmer@morris.com,456-870-0774,Hotel Chain
BP00008,Gonzalez-Arnold,Edward Davis,nicholaswalker@sampson.com,838.672.4385x6766,Car Rental
BP00009,Willis-Harrison,Anthony Smith,annegarza@baker-thompson.net,572.907.0976x33349,Hotel Chain
BP00010,Gonzalez-Martinez,Linda Long,matthewcruz@huffman.biz,921-298-3258x857,Car Rental
BP00011,"Olson, Reyes and Hill",Tanya Powers,medinanathaniel@gmail.com,767.635.9827,Car Rental
BP00012,Foster LLC,Charles Zimmerman,timothywhite@yahoo.com,1660454930,Car Rental
BP00013,Sims-Morris,Jennifer Good,davidjohnson@hotmail.com,001-948-755-4655x9267,Hotel Chain
BP00014,"Garcia, Garcia and Morrow",Victor Martin Jr.,sandersolivia@rivera-vega.org,295.342.8261x574,Car Rental
BP00015,Robbins and Sons,Elizabeth Webster,ihumphrey@gmail.com,001-073-760-7511x27802,Airline
BP00016,Robles-Sellers,Stephanie Brown,dlee@smith.com,(726)553-1785x156,Hotel Chain
BP00017,"Schneider, Hernandez and Ryan",Nancy Hall,jilltaylor@deleon.com,(581)572-0751x40637,Car Rental
BP00018,Thompson and Sons,Philip Camacho,rsmith@blair-raymond.com,+1-998-681-3253x7811,Airline
BP00019,Harding LLC,Brett Kelly,fordjeffrey@rogers.com,(516)571-3765,Airline
BP00020,Walters-Thompson,Cynthia Thompson DDS,tnash@hotmail.com,+1-407-637-5673x33051,Car Rental
BP00021,Quinn LLC,Nicholas Jimenez,mcguirejoshua@yahoo.com,419.954.0324x6826,Hotel Chain
BP00022,Powers PLC,Rebecca Espinoza,mark26@holmes.biz,031.795.4089x65039,Airline
BP00023,Harris-Morris,Mary Perez,morrisonchristina@lucas.org,(286)573-4498x311,Hotel Chain
BP00024,"Pierce, Curtis and Scott",Christy Miller,guerreronathaniel@hotmail.com,(469)055-7982,Car Rental
BP00025,Hill Inc,Kevin Brown,jeffrey84@gmail.com,854.153.3901,Car Rental
BP00026,Todd and Sons,Jessica Foster,wattsjason@yahoo.com,(635)493-7876x48418,Hotel Chain
BP00027,Harvey-Simon,Kenneth Fisher,carl78@stewart-massey.org,001-644-457-8278x5902,Car Rental
BP00028,"Brooks, Murphy and Bates",Rita Brown,debramills@hill.biz,001-123-225-3979x551,Airline
BP00029,"Watts, Carter and Torres",Lauren Williams,laura59@velez.com,901-137-1305x427,Airline
BP00030,"James, Woods and Kennedy",Michael Ochoa,rosewallace@mack.biz,+1-008-832-4564x5746,Car Rental
BP00031,Spence-Wilson,Daniel Martin PhD,jeff09@pugh.biz,879-243-0427x9174,Car Rental
BP00032,Taylor Group,David Walker,gina85@hotmail.com,418.556.5547x13136,Hotel Chain
BP00033,Mccormick PLC,Alec Pitts,destiny30@hotmail.com,+1-498-929-0248,Airline
BP00034,"Price, Evans and Smith",Donna Rodriguez,lisadelgado@mckee-mathews.com,319-214-4178x07158,Hotel Chain
BP00035,Anderson LLC,Paul Parker,cruzchase@gonzalez.com,8537759882,Airline
BP00036,"Jones, Anderson and Gonzalez",Michael Montgomery,john94@todd-martin.org,+1-482-331-7078,Car Rental
BP00037,"Neal, James and Robinson",Carolyn Mendoza,zachary67@vaughn-wright.net,+1-842-123-6449,Car Rental
BP00038,Miller LLC,Peter Rocha,carloshunt@hotmail.com,(035)276-7215x4964,Hotel Chain
BP00039,Brown-Gilbert,Lawrence Nelson,butlerpaul@yahoo.com,083-070-4256,Hotel Chain
BP00040,Moreno LLC,Joseph Alexander,rebeccamathis@gmail.com,001-716-302-8943x95965,Airline
BP00041,Ellis Group,Richard Lee,mark29@hotmail.com,3546127132,Airline
BP00042,Martin Group,Christine Sanders,jonathan62@gmail.com,(978)091-5318,Car Rental
BP00043,Jones Group,Frederick Lee,christina54@gray-preston.net,(930)609-0168x277,Hotel Chain
BP00044,Stout and Sons,Loretta Ward,joseph52@yahoo.com,764-242-6525x43189,Airline
BP00045,"Brown, Ortiz and Bell",Carol Mcdaniel,vrodriguez@gmail.com,001-510-770-6409x148,Airline
BP00046,"Smith, Chavez and Clarke",Andrew Harris,vmcdonald@lucas.com,+1-039-510-4161,Hotel Chain
BP00047,Jackson Inc,Cristian Mcdonald,michaelwarren@gmail.com,9770342109,Car Rental
BP00048,"Taylor, Gutierrez and Weaver",Robert Coleman,garygarrett@morales.net,001-200-848-5632,Car Rental
BP00049,Price-Green,Clayton Dougherty,kthompson@yahoo.com,+1-470-655-2954x16197,Hotel Chain
BP00050,"Gonzalez, Ryan and Olsen",Sydney Martin,alexisrangel@hotmail.com,548.375.8904x20569,Airline
BP00051,Cruz Inc,Christopher Clark,reynoldsvictor@jackson-mcclure.com,+1-299-585-1979x3767,Car Rental
BP00052,Caldwell-Oconnor,Christina Hebert,browningalicia@hotmail.com,(995)045-8667x39149,Hotel Chain
BP00053,Larsen-Meyer,Laura Reese,joshua25@west.com,(662)822-0727x999,Airline
BP00054,Huerta PLC,Kimberly Wilson,harry18@williams-smith.info,(093)432-9076,Car Rental
BP00055,Russell and Sons,Lawrence Cantu,ashley91@hotmail.com,001-610-090-0660x9848,Airline
BP00056,Bradford-Wright,Tyrone Irwin,james84@hotmail.com,083-386-7463x953,Airline
BP00057,"Mora, Johnston and Cabrera",Neil Nelson,lauren86@butler.info,+1-833-384-8406x393,Hotel Chain
BP00058,Smith-Meyer,John Taylor,larsonjeremy@carter.com,+1-447-545-1767,Car Rental
BP00059,"White, Rosales and Rasmussen",Sabrina Lee,mark02@hernandez-macdonald.biz,134-346-1764x9094,Airline
BP00060,Munoz-Hansen,Kristen Anderson,gregorysmith@yahoo.com,(818)819-8648,Car Rental
BP00061,Taylor Inc,Jason Matthews,moorebonnie@oneill.com,001-936-153-1610x17380,Hotel Chain
BP00062,"Harris, Montoya and Kent",Melinda Daugherty,michelle26@gmail.com,956.219.3662,Airline
BP00063,"Henry, Johnson and Pierce",Kevin Bentley,davesalazar@hotmail.com,001-926-829-1837x7310,Airline
BP00064,Fox-Long,Jacob Espinoza,qbaker@mcpherson.com,001-550-332-0743x6917,Airline
BP00065,Bullock and Sons,Joseph Smith,leecody@delacruz.org,8442316420,Airline
BP00066,King PLC,Christian West,michaelbrock@meyer-lee.com,+1-743-876-7209x663,Car Rental
BP00067,Rodriguez Ltd,Mr. John Clark,smithevan@gmail.com,001-677-010-8344x6495,Hotel Chain
BP00068,Davis Group,Leslie Dixon,brittany39@yahoo.com,(881)900-2959,Hotel Chain
BP00069,Beck Group,Dana Ramsey,davidsonmary@wood.biz,(584)261-0017x4723,Car Rental
BP00070,"Davis, Leon and Johnson",Robert Castillo,amandajohnson@gmail.com,0261178025,Car Rental
BP00071,Stanley-Fuller,Matthew Mercado,robert54@hickman.info,001-831-412-2064x2746,Airline
BP00072,"Miller, Costa and Strong",Sarah Smith,danielle22@gmail.com,+1-099-076-6647x00225,Car Rental
BP00073,"Perkins, Lewis and Barnes",Kristen James,omanning@mendez.com,699.126.5187,Car Rental
BP00074,Erickson-Perez,Stephanie Bell,crystal70@hotmail.com,902-169-9325,Car Rental
BP00075,Armstrong-Perez,Andrea Stein,jamesbrock@anderson.net,099.756.1147x22745,Airline
BP00076,"Hernandez, Wise and Griffin",Christy Lyons,jennifer57@yahoo.com,309-136-3996x607,Airline
BP00077,Hendrix-Hudson,Kimberly Cooper,roberta11@torres.com,+1-680-886-1716x472,Hotel Chain
BP00078,Morris Inc,Ryan Huffman,maureen99@monroe.info,762.489.9187x199,Airline
BP00079,"Williams, Martinez and Kelly",Seth Williamson,rtucker@yahoo.com,057-205-6894,Hotel Chain
BP00080,"Sherman, Patterson and Lopez",Brandon Anderson,jill35@hotmail.com,(036)966-6496x0166,Airline
BP00081,Price and Sons,Cynthia Gallagher,umayer@thomas.com,(545)785-3614x5693,Hotel Chain
BP00082,"James, Franklin and Morris",Emily Thomas,crossbrandon@yahoo.com,789-758-1971,Car Rental
BP00083,Lawson-Ramos,Matthew Bowman,jameswhite@gmail.com,+1-352-078-2359x247,Car Rental
BP00084,Ward-Lawson,Kevin Wilkinson,fdeleon@hotmail.com,295.272.2314x88685,Airline
BP00085,Simon-Adams,Mark Marshall,teresa84@anderson.com,001-872-234-8613x629,Airline
BP00086,Velasquez-Hall,Kimberly Reese,michaelahenson@yahoo.com,557-854-8390x81388,Hotel Chain
BP00087,Russell Ltd,Adam Bell,elopez@gmail.com,(482)388-3737x93218,Airline
BP00088,Mann-James,Morgan Mueller,adamsvictoria@bender.com,623-297-4714,Airline
BP00089,"Lee, Henderson and Bradley",Shawn Alvarez,hernandezclaudia@hernandez.com,(140)720-7078x7520,Car Rental
BP00090,Watts Group,Linda Marshall,cbradley@castro.org,292.817.4643,Hotel Chain
BP00091,"Richmond, Harris and Kerr",Elizabeth Moore,martindavid@stevenson-garcia.info,(636)517-1248,Car Rental
BP00092,Anderson LLC,Brandon Jackson,fsparks@yahoo.com,482-042-2685x7465,Car Rental
BP00093,"Smith, Long and Martinez",Judy Fernandez,nicolecarlson@walker.org,+1-805-940-4146x18518,Car Rental
BP00094,Patrick and Sons,Lauren Velasquez,michaelmorton@clements.com,981.546.0084x669,Hotel Chain
BP00095,Mason-Valenzuela,Travis Rodriguez,johnsonashley@bryant.com,001-135-405-5885x167,Car Rental
BP00096,"White, Long and Vargas",Jennifer Sanchez,gcooley@francis-allen.com,668.510.6770x2598,Hotel Chain
BP00097,Collier PLC,Charlotte Contreras,ellisjose@horton.com,972-802-7056x823,Car Rental
BP00098,Fernandez-Washington,Stephanie Brewer,grivera@martinez.net,001-558-222-3685x1870,Airline
BP00099,"Hill, Meza and David",Austin Smith,acox@hotmail.com,+1-197-579-7971x3136,Hotel Chain
BP00100,Johnson Inc,John Hughes,melissa52@phillips-burgess.com,783-425-4532x5952,Airline
BP00101,"Rivera, Brown and Knight",David Johnson,nstrickland@burns.com,325.474.2715x20500,Car Rental
BP00102,"Pham, Smith and Beck",Mary Baker,zallen@yahoo.com,895-893-5736x77876,Car Rental
BP00103,Wood-Sullivan,Richard Christian,gloria86@gmail.com,001-444-169-2374x74411,Hotel Chain
BP00104,Reed-Marsh,Heather Hanson,jessicablanchard@yahoo.com,+1-014-547-1383,Airline
BP00105,Browning-Knapp,Matthew Park,epatterson@reed.org,921.914.1255,Car Rental
