travelCode,userCode_x_x,name_x,place,days,hotel_perday,hotel_total,date_x,from,to,flightType,flight_cost,time,distance,agency,company,gender,age,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,price,totalDistance,fuelPolicy,bookingStatus,Total_car_price,no_of_guest,guest_name,total_passenger
0,0,Hotel A,Florianopolis (SC),4,313.02,1252.08,09/26/2019,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Steve Velasquez', 'Alexander Garcia', 'Louis Herman']",4
2,0,Hotel K,Salvador (BH),2,263.41,526.82,10/10/2019,Aracaju (SE),Salvador (BH),firstClass,1684.05,2.16,830.86,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Ashley Hall', 'Abigail Lindsey', 'Luis Rogers', 'Shelby Brewer']",5
7,0,Hotel K,Salvador (BH),3,263.41,790.23,11/14/2019,Aracaju (SE),Salvador (BH),economic,964.83,2.16,830.86,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,2,"['Kyle Craig', 'Jose Preston']",3
11,0,Hotel K,Salvador (BH),4,263.41,1053.64,12/12/2019,Brasilia (DF),Salvador (BH),premium,1268.97,1.76,676.56,Rainbow,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Melissa Cardenas', 'Anne Gonzalez', 'Edward Davenport', 'Anna Rose']",5
13,0,Hotel A,Florianopolis (SC),1,313.02,313.02,12/26/2019,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Tommy Reid', 'Maria Simmons', 'Lori Walker', 'Troy Murray']",5
15,0,Hotel BD,Natal (RN),2,242.88,485.76,01/09/2020,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,1,['Natalie Mathis'],2
22,0,Hotel Z,Aracaju (SE),2,208.04,416.08,02/27/2020,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,4You,male,21,Johntown,Port Brian,Sedan,Sixt,3.0,262.43,285.0,Prepaid,Pending,588.0,2,"['Shawn Smith', 'Megan Soto']",3
29,0,Hotel AU,Recife (PE),4,312.83,1251.32,04/16/2020,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,2,"['Roger Daniel', 'Mark Huerta']",3
32,0,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/07/2020,Brasilia (DF),Sao Paulo (SP),firstClass,893.65,0.67,257.81,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,2,"['Meghan Stuart', 'Michelle Fields']",3
33,0,Hotel K,Salvador (BH),4,263.41,1053.64,05/14/2020,Brasilia (DF),Salvador (BH),premium,1346.6,1.76,676.56,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Heidi Smith', 'Sarah Clark', 'Ryan Lewis', 'Melissa Mcclure']",5
34,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/21/2020,Aracaju (SE),Sao Paulo (SP),premium,630.34,1.02,392.76,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,3,"['Ricardo Pena', 'Glen Ward', 'Brandi Roberts']",4
38,0,Hotel BD,Natal (RN),2,242.88,485.76,06/18/2020,Brasilia (DF),Natal (RN),firstClass,1433.35,1.43,550.69,FlyingDrops,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,2,"['Joshua Wilcox', 'Johnny Davis']",3
39,0,Hotel K,Salvador (BH),1,263.41,263.41,06/25/2020,Brasilia (DF),Salvador (BH),economic,958.15,1.76,676.56,CloudFy,4You,male,21,,,Not rented,None,0.0,0.0,0.0,None,Not Booked,0.0,4,"['Daniel Wright', 'Donna Webster', 'Megan Gonzalez', 'Melissa Cox']",5
